comment,polarity
মানসম্মান শুধু এদের আছে এর আগেও বহু নিম্ন মধ্যবিত্ত পরিবারের ছবি ভাইরাল হয়েছিল তখন আইনজীবী কি করছিলেন অপরাধীর আবার নারী পুরুষ বলে কিছু আছে,1
তাহলে তো অপরাধী ব্যক্তিদের কোন ছবি ঘটনা নাম ধাম কিছুই সংবাদমাধ্যম ও প্রচার মাধ্যমে প্রচার করা যাবে না l সামাজিক  যোগাযোগ মাধ্যমে প্রচার হলে যে( প্রচারকারী ) কেউ আইসিটি মামলায় জড়িয়ে পড়বে l অপরাধীদের (  চোর ধর্ষক ঘুষখোর মদ্যপ চোরাকারবারি ড্রাগ ডিলার)ব্যক্তিগত তথ্য গোপন করার জন্য এত বেশি আবদার কেন  এইসব ক্রিমিনালদের ধরা পড়ার আগে তাদের ব্যক্তিগত মান-সম্মানের কথা কেন আগে মনে পরে না ,1
কিছু না কিছু করে লাইমলাইটে আসার জন্য কি মরিয়া একদল আইনজীবী 🤣 আকাজের কাজ ছাড়া আর কিইবা করার আছে বেচারাদের আকাম করলেই তো আকামের ভিডিও ভাইরাল হয় তাই না এদের কোন ভিডিওই তো নকল ভিডিও বলে তারা অস্বীকার করেনি অসামাজিক কাজ করবা আবার নারী বলে সবসময় পার পেয়ে যাবা সেটা তো হতে পারেনা,0
এই সব ভিডিও কারা প্রকাশ করেছে তাদের আগে ধরে শাস্তি দিন,1
সহমত আসল রিট তো এদের বিরুদ্ধে করা উচিৎ ভাইরাল হতে যত ফন্দি,1
সহমত আসল রিট তো এদের বিরুদ্ধে করা উচিৎ ভাইরাল হতে যত ফন্দি,1
ওনারা ভাইরাল হতে এসব করেছেন পারলে পরিমনির ফেসবুক প্রফাইল থেকে ঘুরে আসুন,0
শিল্পী সমিতির বর্তমান পরিষদ সিনেমার মত মাস্তান তারা সিনিয়ারদের সম্মান করতে জানে না,1
তাহলে সিনিয়র শিল্পীদের নাম জড়াচ্ছেন কেন এই প্রশ্নের কোনো সদুত্তর তাঁর কাছ থেকে পাওয়া যায়নি-------------- কারন উনি স্রোতের টানে ভেসে যাচ্ছিলেন  দেখছিলেন যে পরীকে পুলিশ বার বার সন্থ্রাসিদের মতো টানা হেচড়া করছে  দাগী আসামীদের মতো বারবার ওকে রিমান্ডে নেয়া হচ্ছে  আদালত জামিন শুনানীতে সময় ক্ষেপ করছে  এসব দেখে শুনে উনি তাড়াতাড়ি ওর কর্ম পন্থা ঠিক করে ফেলেছিলেন  সিনিওরদের নাম জড়িয়ে বানোয়াট একটা বিবৃতি প্রচার করে দিয়েছিলেন  কবিগুরু রবিন্দ্রনাথ অনেক দিন আগে এরকম পরিস্থিতি  তে লিখেছিলেনযদি  ঝড়ের মেঘের মতো আমি ধাই চঞ্চল-অন্তর  তবে    দয়া কোরো হে দয়া কোরো হে দয়া কোরো হে ঈশ্বর,0
শিল্পীরা জাতির বিবেক একটি মেয়ের প্রতি অন্যায় করা হচ্ছে তা আপনারা চেয়ে চেয়ে দেখবেন মেয়েটি শিল্পী সে কারও ক্ষতি করেনি যার জন্য তাকে গ্রেফতার করেনি পুলিশ  রাষ্ট্র নিজে তার প্রতি অন্যায় করে চলেছে বানানো অভিযোগে তাকে জেলে রেখেছে,1
শিল্পী সমিতির প্রতিটি সদস্য কে যেকোনো পরিস্থিতিতে তাদের প্রতিটি সদস্যের বিপদ আপদে সবার আগে তার পাশে দাড়ানো উচিৎ কারন একতাই বল,1
MISA SOWDAGAR IS A VERY SENIOR SHILPI HOW HE/ HIS COMMITTEE CAN TAKE  A ADVERSE DECISSION  AGAINST HIS COLEGQUE  PORIMONI WHERE NO CHARGES WERE LODGE AGAINST HER,1
RIP Bangladeshi film industry You wont be missed,1
Namei shomitiekekjon er ekek katha,1
সময়টা এমন যে কেউ বিপদে পড়লে তাকেই বাশ দাও আইনের গতি দেখিয়ে পাশ কাটিয়ে তাকে বেশি করে বাশ দাও যেন নিজের উপর বাশ না আসেএকে অপরের বিপদে পাশে না থেকে বাশ নিয়ে রেডি আপনি বিপদে পড়লে কেউ পাশে থাকবে না,1
Khalifa Zayed Al nahiyan  bin FDC seems a great lair,1
শিল্পী সমিতির সদস্য হতেই হবে এমন কোন আইন নেই ভিন্ন আরেকটি শিল্পী সমিতি গঠন করলে সমস্যা হবে কি একক আধিপত্য ভেঙ্গে দেয়া হল,1
সমিতির সভ্যতা সংস্কৃতি নেই আছে দোষারোপ এর হা ডু ডু খেলা,0
বাংলাদেশের এফডিসির মধ্যে কোন একতা দেখি নাএকে অপরকে কখনো সম্মান দিতে দেখি না,1
এফডিসি চিরতরে বন্ধ করে দিয়ে এর ভিতরে গরু ছাগল মুরগির খামার  শুরু করলে সরকার প্রতি মাসে ভালো টাকা আয় করতে পারবে,0
ইন্টারভিউয়ের এন্ডিংটা সেই ছিল ভাই এ সব অভিনেতাদের যেহেতু এখন আর দাম নাই তাই তারা এখন এফডিসির মত একটা অরাজনৈতিক জায়গায়ও রাজনীতি করছে আসলেই এদের কোনোদিন শিক্ষা হবে না এ কারনেই তো অ্যভেঞ্জার্স: এন্ডগেম মুভির প্রিমিয়ারে ছিল উপচে পড়া ভীড় আর সেই একই সময়ে রিলিজ দেয়া শাকিব খানের ছবিতে মনে হয় না পরিচালক বা প্রযোজকও হলে উপস্থিত ছিলেন,0
Wait a bit,1
বিচারে  দোষী সিদ্ধান্ত না আসার আগে সিদ্ধান্ত নেয়া অশিক্ষিতের দৃষ্টান্ত ,1
পরীমনির ব্যাপারটা অন্যরকম সে মাদক সহ হাতেনাতে ধরা পড়েছে,1
আর কত চ্যালামি করবেন মিশা ভাই,0
সবাই ভাল যতক্ষণ  না ধরা পরে  কিছু লোক  অপরাধীর পক্ষে সাফাই  গায় তার( পরী) কাছে  ভাল থাকার জন্য  অপরাধ  করার আগে কেন  অপরাধী  কে  সতর্ক  করে না ,0
We are Argentinean,1
Porimonir okality korte ashchen ukil shaheb ,0
পরীমনির মত ভালো গুন সবার থাকে না তাঁর ব্যক্তি জীবন তাঁর নিজের মানুষ হিসেবে গুনাগুন থাকবেই কিন্তু ষড়যন্ত্র করে তাঁকে নিষ্পেষন মানা যায় না,1
Is he a newcomer I never heard his name who is giving opinion about Porimoni,0
আমাদের দেশের সিনেমা শিল্প কেন আজ ধ্বংস হয়ে গিয়েছে সেটা বুঝতে অনেক বুদ্ধিমান হওা লাগে না  এই রকম ফালতু পোলাপাইন যারা কিনা অভিনয়ের অ ও পারে না আবার না আছে ভাল শারিরিক ফিটনেস এই সব আটানা চারানা পোলাপানদেরকে আমাদের দেশের সস্তা মিডিয়ার জন্য ওরা সিনেমাতে কাজ করার সুযোগ পায় এই ছেলে কি কোনো দিন থিয়েটারে বা মঞ্চে অভিনয় করেছে মিডিয়া রিলেটেড কিছুর সাথে ও কি যুক্ত ছিল ও কি বিরাট সুদর্শন কিছুই না কিন্তু তার মত একজন লোক সিনেমার প্রধান চরিত্র করে তাহলে সিনেমা ধংস হবে না তো কি  আর পরিমনি কি একজনকে সাহায্য করলেই ভাল মানুষ হয়ে যায়,0
Nice couple,1
Nice couple,1
পরিমনি কে সার্পোট করায় আপনাকে বয়কট করলাম,0
He is already well known for his various roles in Bengali TV dramas Later In 2018 he joined  ,1
মিশা ভিলেনের মতোই আচরণ করছে৷,0
ইলিয়াস	কাঞ্চন সাহেব একজন গুনি অভিনেতা এবং একজন বিচক্ষন ব্যক্তিও তিনি যেটা বলেছেন ভেবে চিন্তেই বলেছেন সহমত  ,1
Wrong decision,1
Pori moni master planner der shikar matro,1
অভিযোগ আসলেইতো স্থগিতের কথা চলে আসে যদি অভিযোগ প্রমাণিত হয় তাহলে তো চূড়ান্তভাবে বরখাস্ত,1
আমি বলেছি এই স্থগিতই–বা কেন করবা স্থগিত করাটা ঠিক হবে না স্থগিতের বিষয়ে আমার মত নেওয়া হয়নি,1
জায়েদ খান শিল্পী তাদের আবার সমিতি হাহাহা পাশের দেশের নায়ক নায়িকাদের ফেসবুক ইন্সটাগ্রাম একাউন্টেও আকাশ পাতাল তফাৎআওয়ামিলীগ এর গুরুত্বপূর্ণ ব্যাক্তিদের শুভেচ্ছা জানানোপুলিশদের শুভেচ্ছা জানানোঅভিনন্দন জানিয়ে প্রমান করে যে তার হাত কতদুর জায়েদ খান সংগঠক তাও আবার বিশেষ ক্ষমতাবলেনইলে এফডিসির জন্য শিল্পীর জন্য এরকম সংগঠকের কোন প্রয়োজন নাই,0
পুলিশ যে মামলা করেছে এটি একটি বাল্যখিল্য কাজ সে জন্য শিল্পীরাও যারা জাতীর বিবেক সততা ও সরলতা শিল্পীদের পোষাক এ ক্ষেত্রে ব্যাত্যয় ঘটেছে,1
what goes around comes around,1
শিল্পী সমিতির এই সিদ্ধান্ত নিন্দাযোগ্য l ,1
কই বোট ক্লাবের ঘটনায় যখন ওই ব্যবসায়ীর সদস্যপদ স্থগিত করা হলো তখন তো এমন প্রশ্ন জাগেনি সেটাও তো তদন্তাধীন বিষয় ছিল উনিও তো যথেস্ট ভারবাহী লোক ছিলেন এখন শামসুন্নাহার এর সদস্যপদ স্থগিত নিয়ে যেভাবে রিপোর্ট করা হচ্ছে মনে হচ্ছে এই সদস্যপদ থাকা না থাকার বিষয়টি সংবাদপত্র ওয়ালারাই নির্ধারন করবেন আর মজার বিষয় হলো- কমেন্টটি কালক্ষেপণ করে এপ্রুভ করে প্রথম আলো দুই কূল রক্ষা করবে,1
আমি ইলিয়াস কাঞ্চনের সাথে ১০০% সহমত,1
আমারতো মনে হয়  মামলার রায় ও শেষ পর্যায়ে ,1
অপরাধ লব্ধ আয় আছে কিনা এখন খোঁজ খবর,1
 পরীমণির কথার সাথে বা তার অভিযোগের সাথে যেসব ভিডিও বের হয়েছে সেসবের মিল খুঁজে পাওয়া যায় না অদ্ভুত ব্যাপার হলো কয়েকদিন আগেও দেশের প্রায় সবাই এই নায়িকার পাশে ছিল এরপর দেশের প্রায় সবাই এই নায়িকার বিরুদ্ধে এখন আবার দেশ-বিদেশের বুদ্ধিজীবীগণসহ অনেকেই আবার পক্ষে সাফাই গাইছে এবং সেটা শুধুমাত্র পরিমণির জন্যই অন্যকোন একিউজড মহিলাদের জন্য না  দেখা যাক জল কোন দিকে গড়ায়  কিছুদিন আগে ক্রিকেটার নাসির ও তার স্ত্রী তামিমাকে নিয়ে অনেক জ্বল ঘোলা হলো অনেককিছুই মানুষ দেখলো অথচ এখন আর এ ব্যাপারে কোন খবরই পাওয়া যাচ্ছে না  একজন সেলিব্রেটি যাকে আইকন বা অনুকরনীয় হিসেবে নিই তার নৈতিক স্খলন মানতে একটু কষ্ট হয় বৈ কি  সবাই সুবিচার পাক এটাই প্রত্যাশা,1
আলেম ওলামাদের মামলা কি হবে উনারা কি সারা জীবন জেলে থাকবে হে আল্লাহ উনাদের কে মুক্তি দান কর,1
Right,1
কি আর বলব কাকে বলব অভিযোগ যেখানে রাষ্ট্রের সর্বোচ্চ প্রতিষ্ঠানের দিকে তখন তো বলার কেউ থাকে না,1
নাসিরউদ্দিনের মামলার তদন্ত কি শেষের দিকে আর পরিমনি কিন্তু পৃথিবীর ফোবোর্স এর ১০০ জন মহিলার তালিকায় সে একজন,1
বা‌ড়ি ঘেড়াও দি‌য়ে‌ পাওয়া গেল ক‌য়েক বোতল মদ সি‌নেমার না‌য়িকার বাসায় মদ থাক‌বে না ত কি ধর্মগ্রন্থ থাক‌বে  এখন ৩দফা রিমা‌ন্ডে নি‌য়ে‌ কি তথ‌‌্য পাওয়া গেলসেটাই দেখার বিষয়,0
হেরিয়ার গাড়ি চালানো বারিধারার বিলাসবহুল ফ্ল্যাটে থাকা গেঁয়ো মহিলাদের জীবনযাত্রা কেমন হয় বিচারের পরে কয়েক বছর জেল খেটে বের হবার পর সেটা দেখার অপেক্ষায় রইলাম,0
পুলিশ ইয়াবা ও মাদক রেখে মিথ্যা মামলা করে এমনটি খুবই কমন পরীমনির বিরুদ্ধে মাদক মামলা দেওয়ার আগে পুলিশের ভাবমূর্তি উদ্ধার করতে হবে,0
She is a orphan and if innocent need a justice,0
ভয়ংকর মাফিয়ার উথানে এখন মাফিয়ার আধিপত্য চলছে শাসন ক্ষমতায় রাজনৈতিক ক্ষমতায় সামাজিক ক্ষমতায়  পরিমণি তার শিকার  মাফিয়ারা যখন আইন আাদ:ালত সরকার নিয়ন্ত্রন করে তখন আইনের সব ধারা void হয়ে যায়   সব কিছু  চলে মাফিয়ার ইচ্ছা ধারায় @ খালেদ:ার জামিনের ব্যাপারে  ব্যাক্তির ইচ্ছার কাছে খালেদ:ার জামিন পাওয়ার সব অধিকার বাতিল হয়ে যায় তেমনি পরিমণির জামিনের ব্যাপারেও মাফিয়ার ইচ্ছার কাছে পরিমণির জামিন পাওয়ার সব অধিকার বাতিল হয়ে যায়   @ Injustice anywhere is a threat to justice everywhere - Rev Martin Luther King Jr,0
সাজানো একটা নাটক,0
সরকারের কাছে অনুরোধ জানাবো পরিমনিকে দৃষ্টান্ত মূলক শাস্তি দেওয়া হোক যাতে করে ভবিষ্যতে  আর কেউ এই ধরনের অপরাধ মূলক কাজ করার সাহস কেউ না পাই,1
Where were you when Mr Nasir Mahmud was being harrased,1
পরিমনি নিশ্চয়ই দুধে ধোঁয়া তুলসী পাতা নয়,0
উনার সাথে একমত সরকার তাদের নিজেদের দুর্নীতি ঢাকতেই পরীমনি নাটকের উত্থান ঘটিয়েছে যদিও শেষ পর্যন্ত তারা নাটক সম্পন্ন করতে পারেনি কারণ এতে নিজেদেরই থলের বিড়াল বেরিয়ে আসতে ছিল,0
ধার্মিক নানার কাছে প্রশ্ন তার নাতনী যে পথে হাটছে সে পথে হাটা কি উচিৎ,1
Mir jafor ki balon def paibo,0
Porimoni oboshshoi oporadhitar bivrantikor achoron er karon holo drugsdrugs er withdrawl affect e shobai erokom achoron kore thakeakjon doctor hishabe bolchishe also needs treatment for drug addiction in a rehabilitation centre,0
বড় অদ্ভুত একটা দে্শ আমার,0
শামসুল হক গাজী কি জানেন বা জানতে চেয়েছেন  পরীমনি কত মানুষকে হয়রানি করছে,0
নানা ঠিক কথাই বলেছেন,1
লম্পট ব্যবসায়ীদের বিরুদ্ধে মামলার খেসারত প্রতিহিংসার জন্য পরীমনির প্রতি এই অন্যায়  রাষ্ট্র পুলিশ র‌্যাবের এই অন্যায় মেনে নেওয়া যায় না মাদক রেখে পুলিশ র‌্যাব মানুষকে নির্যাতন করে বাংলাদেশের সকলে জানে আজ রাষ্ট্র যা করছে পরীমনির প্রতি কাল আমার প্রতি করবে,1
কিছুদিন পূর্বে পরীমনিও একজন ব্যবসায়ীকে অযথা হয়রানি করেছে,1
নাতনিকে ছোটবেলা থেকে যদি দ্বীন শিক্ষা দিয়ে বড় করতেন তবে আজ কোর্টের বারান্দায় এসে কষ্ট করা লাগত না আল্লাহতায়ালা আমাদের সবাইকে হেদায়েত দান করুন আমিন,1
যারা পরিমনির পক্ষে কথা বলছেন তারা আসলে পরিমনিকে না মাদককে আর মদকে বৈধতা দিচ্ছেন পরিমনির কেসটার ব্যাপারে পুরুষতন্ত্র নারীবাদ- এসব ত্যানা পেচিয়ে ভুলিয়ে দেয়া হচ্ছে যে মদ এই সমাজে গ্রহনযোগ্য না সবাই লুকিয়ে মদ খায় তাই প্রকাশ্যে মদ পাওয়া গেলে তারপরও বিচার হবে না তাহলে জঙ্গিদের আটকে রাখার দরকার কি অস্ত্র পাওয়া গেলে অস্ত্র তো ছাত্রলিগ এর পুলাপানের পকেটেও থাকে,0
এই ঘটনাটি বুঝতে কারো বাকি নাই কিছু ব্যবসায়ী প্রতিহিংসার বসবর্তী হয়ে পরীমনিকে পিষে মারার জন্য এটা করছে কিন্তু তারা রাষ্ট্র র‌্যাব পুলিশ বিচার বিভাগকে এই কাজে ব্যাবহার করতে সক্ষম এটা দেখে দেশের মানুষ আতঙ্কিত  এটি নাগরিক অধিকার নিষ্পেষনের প্রশ্ন বাংলাদেশের মুক্তিযুদ্ধের অর্জনকে মাটিতে মিশিয়ে দিচ্ছে,1
